utente/$/$/hotel,brec,drec,urec
A Traveler/$/$/The Kinney - Venice Beach,0.56,0.43,0.01
A Traveler/$/$/Plaza Hotel and Casino - Las Vegas,0.25,0.75,0.0
A Traveler/$/$/Quality Inn Johnson City,0.54,0.46,0.0
A Traveler/$/$/Super 8 Dallas South,0.23,0.77,0.0
A Traveler/$/$/Baymont Inn & Suites Griffin,0.6,0.4,0.0
A Traveler/$/$/Holiday Inn Express - Harrisburg East,0.14,0.86,0.0
A Traveler/$/$/Dallas/fort Worth Marriott Solana,0.55,0.45,0.0
A Traveler/$/$/Super 8 Kingston,0.45,0.54,0.01
A Traveler/$/$/Super 8 Worthington Minnesota,0.28,0.72,0.0
A Traveler/$/$/Quality Inn Near Six Flags,0.58,0.42,0.0
A Traveler/$/$/Days Inn Ruther Glen Kings Dominion Area,0.28,0.72,0.0
A Traveler/$/$/Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive,0.47,0.52,0.01
A Traveler/$/$/Red Roof Inn St Louis - Troy,0.63,0.37,0.0
A Traveler/$/$/Hampton Inn Abilene,0.68,0.32,0.0
A Traveler/$/$/Country Inn and Suites By Carlson,0.32,0.68,0.0
A Traveler/$/$/Tidewater Inn,0.15,0.85,0.0
A Traveler/$/$/Villa Carlotta,0.65,0.34,0.01
A Traveler/$/$/Extended Stay America - Fort Lauderdale - Davie,0.24,0.76,0.0
A Traveler/$/$/Jacksonville Plaza Hotel and Suites,0.11,0.89,0.0
A Traveler/$/$/Hawthorn Suites Dayton North,0.29,0.71,0.0
A Traveler/$/$/Suburban Extended Stay of Memphis Bartlett,0.23,0.76,0.01
A Traveler/$/$/Homewood Suites - Mall of America,0.52,0.48,0.0
A Traveler/$/$/Extended Stay America - Rockford - I-90,0.32,0.68,0.0
A Traveler/$/$/Red Rest Inn,0.56,0.44,0.0
A Traveler/$/$/Hotel Silken Siete Coronas,0.67,0.33,0.0
A Traveler/$/$/Cherry Orchard Inn,0.2,0.8,0.0
A Traveler/$/$/Hotel Vorbach,0.66,0.33,0.01
A Traveler/$/$/Lakeway Resort & Spa,0.6,0.4,0.0
A Traveler/$/$/Knights Inn Amarillo Airport,0.28,0.7,0.02
A Traveler/$/$/La Quinta Inn and Suites Nashville Franklin,0.17,0.83,0.0
A Traveler/$/$/Chelsea Inn,0.65,0.35,0.0
A Traveler/$/$/Comfort Inn - Springfield,0.54,0.46,0.0
A Traveler/$/$/Sombrero Resort and Marina,0.19,0.81,0.0
A Traveler/$/$/Days Inn West Memphis,0.28,0.72,0.0
A Traveler/$/$/Quality Inn,0.16,0.84,0.0
A Traveler/$/$/Sheraton Offenbach Hotel,0.6,0.39,0.01
A Traveler/$/$/Extended Stay America - Raleigh - Cary - Regency Parkway S,0.25,0.75,0.0
A Traveler/$/$/Suburban Extended Stay Warner Robins,0.62,0.33,0.05
A Traveler/$/$/Jvd Hotels,0.27,0.72,0.01
A Traveler/$/$/Parkside Inn At Incline,0.47,0.53,0.0
A Traveler/$/$/Holiday Inn Express Hotel and Suites Raleigh-wakefield,0.64,0.36,0.0
A Traveler/$/$/Arion,0.67,0.33,0.0
A Traveler/$/$/Una Hotel Forte Dei Marmi,0.61,0.38,0.01
A Traveler/$/$/Fireside Inn Santa Cruz,0.35,0.65,0.0
A Traveler/$/$/Hilton Santo Domingo,0.64,0.35,0.01
A Traveler/$/$/Samui Cliff View Resort & Spa,0.65,0.32,0.03
A Traveler/$/$/Country Inn & Suites By Carlson,0.52,0.48,0.0
A Traveler/$/$/Best Western Holiday Hills,0.52,0.48,0.0
A Traveler/$/$/Norwood Inn and Suites,0.27,0.73,0.0
A Traveler/$/$/Howard Johnson Inn - Newburgh,0.2,0.8,0.0
A Traveler/$/$/Holiday Inn Express Colton-riverside North,0.22,0.78,0.0
A Traveler/$/$/Fairfield Inn Saginaw,0.64,0.36,0.0
A Traveler/$/$/Hotel Casena Dei Colli,0.65,0.34,0.01
A Traveler/$/$/Quality Inn and Suites Eugene-springfield,0.55,0.45,0.0
A Traveler/$/$/Harrah's Laughlin Hotel and Casino,0.27,0.73,0.0
A Traveler/$/$/Americas Best Value Inn and Suites,0.3,0.7,0.0
A Traveler/$/$/The Westin Europa and Regina,0.62,0.38,0.0
A Traveler/$/$/Melia Paris Champs-elys��es,0.62,0.37,0.01
A Traveler/$/$/Sci�� On Martin,0.64,0.29,0.07
A Traveler/$/$/Country Inn and Suites By Carlson Charlotte University Place,0.57,0.43,0.0
A Traveler/$/$/Gardena Terrace Inn,0.13,0.87,0.0
A Traveler/$/$/Quality Suites Intercontinental Airport West,0.55,0.45,0.0
A Traveler/$/$/Best Western Knoxville Suites,0.53,0.47,0.0
A Traveler/$/$/The Jayakarta Bali,0.27,0.72,0.01
A Traveler/$/$/Hotel Aura Sfo,0.54,0.46,0.0
A Traveler/$/$/Hampton Inn Bloomington West,0.57,0.43,0.0
A Traveler/$/$/Best Western Plus San Marcos Inn,0.65,0.35,0.0
A Traveler/$/$/Comfort Inn Deland - Near University,0.57,0.43,0.0
A Traveler/$/$/Comfort Suites,0.64,0.36,0.0
A Traveler/$/$/Best Western of Long Beach,0.68,0.32,0.0
A Traveler/$/$/Holiday Inn Express & Suites Phoenix Downtown - Ballpark,0.58,0.42,0.0
A Traveler/$/$/Fairbridge Inn,0.3,0.7,0.0
A Traveler/$/$/Grand Hotel Cadenabbia,0.58,0.42,0.0
A Traveler/$/$/Hotel An Der Philharmonie,0.57,0.43,0.0
A Traveler/$/$/Comfort Hotel Nation Pere Lachaise Paris 11,0.62,0.37,0.01
