utente/$/$/hotel,brec,drec,urec 
Paul/$/$/Hyatt Place Atlanta/alpharetta/north Point Mall,0.0,1.0,0.0
Paul/$/$/Courtyard By Marriott Downtown Boise,0.03,0.96,0.01
Paul/$/$/Fairfield Inn and Suites By Marriott Idaho Falls,0.06,0.93,0.01
Paul/$/$/Quinta Real Acapulco,0.0,1.0,0.0
Paul/$/$/Good Nite Inn Rohnert Park,0.03,0.96,0.01
Paul/$/$/La Quinta Inn and Suites Meridian,0.08,0.91,0.01
Paul/$/$/Holiday Inn Express Hotel and Suites Hesperia,0.03,0.96,0.01
Paul/$/$/Holiday Inn Victorville,0.58,0.41,0.01
Paul/$/$/Quality Inn and Suites Big Rapids,0.05,0.94,0.01
Paul/$/$/Knights Inn Carmel Hill,0.13,0.86,0.01
Paul/$/$/Holiday Inn Express Hotel & Suites Emporia,0.08,0.91,0.01
Paul/$/$/Cherokee Lodge Bed and Breakfast,0.03,0.96,0.01
Jennifer Donahue/$/$/Days Inn Brookings,0.0,1.0,0.0
Tara/$/$/Days Inn Brookings,0.15,0.82,0.03
"Tara/$/$/The Alexandrian, Autograph Collection",0.08,0.92,0.0
Tara/$/$/Ip Casino Resort Spa,0.76,0.23,0.01
Tara/$/$/Comfort Suites,0.08,0.91,0.01
Tara/$/$/Super 8 Indianapolis,0.61,0.37,0.02
Tara/$/$/Super 8 Fort Collins,0.09,0.89,0.02
Tara/$/$/Comfort Inn Huntingdon,0.1,0.88,0.02
Tara/$/$/Candlewood Suites Eugene Springfield,0.0,1.0,0.0
Tara/$/$/Holiday Inn Express Hotel and Suites Cambridge,0.08,0.91,0.01
Dallas/$/$/Days Inn Brookings,0.02,0.93,0.05
Dallas/$/$/Garden of The Gods Club & Resort,0.0,1.0,0.0
Marian/$/$/Days Inn Brookings,0.0,1.0,0.0
Marian/$/$/La Quinta Inn and Suites Meridian,0.0,1.0,0.0
Whitney/$/$/Days Inn Brookings,0.02,0.93,0.05
Whitney/$/$/Marriott's Mountainside At Park City,0.0,1.0,0.0
Whitney/$/$/Anaheim Marriott Suites,0.0,1.0,0.0
Damon/$/$/Days Inn Brookings,0.02,0.93,0.05
Damon/$/$/Days Inn Warren,0.0,0.95,0.05
Sonja/$/$/Days Inn Brookings,0.01,0.95,0.04
Sonja/$/$/Candlewood Suites Huntersville,0.0,1.0,0.0
Sonja/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.0,1.0,0.0
Jane3579/$/$/Days Inn Brookings,0.0,1.0,0.0
Rebecca/$/$/Days Inn Brookings,0.1,0.88,0.02
"Rebecca/$/$/The Alexandrian, Autograph Collection",0.67,0.33,0.0
Rebecca/$/$/Days Inn & Suites Castle Rock,0.1,0.88,0.02
Rebecca/$/$/Fiesta Inn Centro Historico,0.0,1.0,0.0
Rebecca/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.07,0.92,0.01
Rebecca/$/$/Candlewood Suites Huntersville,0.06,0.93,0.01
Rebecca/$/$/Hawthorn Suites Dayton North,0.1,0.88,0.02
Rebecca/$/$/Lakeway Resort & Spa,0.68,0.31,0.01
Rebecca/$/$/Days Inn West Memphis,0.1,0.89,0.01
Rebecca/$/$/Best Western Holiday Hills,0.08,0.9,0.02
Rebecca/$/$/Harrah's Laughlin Hotel and Casino,0.08,0.91,0.01
Rebecca/$/$/Best Western Knoxville Suites,0.54,0.45,0.01
Rebecca/$/$/Hotel An Der Philharmonie,0.01,0.97,0.02
Rebecca/$/$/Western Inn-glacier Park,0.13,0.86,0.01
Rebecca/$/$/Super 8 Batesville Ar,0.08,0.9,0.02
Rebecca/$/$/Comfort Inn and Suites Bend,0.0,1.0,0.0
Rebecca/$/$/Garden of The Gods Club & Resort,0.0,1.0,0.0
Rebecca/$/$/Campus Inn & Suites Eugene Downtown,0.1,0.89,0.01
Rebecca/$/$/Sleep Inn At Harbour View,0.03,0.95,0.02
Rebecca/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.0,1.0,0.0
Rebecca/$/$/Best Western Silicon Valley Inn,0.09,0.89,0.02
Rebecca/$/$/Dockers Inn,0.05,0.94,0.01
Rebecca/$/$/Comfort Suites Fort Pierce,0.03,0.95,0.02
Rebecca/$/$/Holiday Inn Express and Suites Gahanna/columbus Airport E,0.07,0.92,0.01
Rebecca/$/$/Quality Inn and Suites Big Rapids,0.06,0.93,0.01
Josh/$/$/Days Inn Brookings,0.0,1.0,0.0
Josh/$/$/Quality Inn & Suites,0.0,1.0,0.0
Josh/$/$/Sybaris Pool Suites,0.0,1.0,0.0
Josh/$/$/Holiday Inn Express Colton-riverside North,0.0,1.0,0.0
Josh/$/$/Fairfield Inn and Suites By Marriott Plainville,0.0,1.0,0.0
Josh/$/$/Comfort Inn Montgomery,0.0,1.0,0.0
Josh/$/$/Towneplace Suites Albany University Area,0.0,1.0,0.0
Josh/$/$/Sleep Inn Slidell,0.0,1.0,0.0
Josh/$/$/Holiday Inn Express & Suites Crossville,0.0,1.0,0.0
Shannon/$/$/Days Inn Brookings,0.1,0.88,0.02
Shannon/$/$/Quality Inn & Suites,0.06,0.92,0.02
Shannon/$/$/Holiday Inn Express Dahlonega,0.01,0.97,0.02
Shannon/$/$/Lakeway Resort & Spa,0.73,0.26,0.01
Shannon/$/$/Chelsea Inn,0.04,0.95,0.01
Shannon/$/$/Fireside Inn Santa Cruz,0.1,0.88,0.02
Shannon/$/$/Quality Inn and Suites Eugene-springfield,0.05,0.93,0.02
Shannon/$/$/Best Western Knoxville Suites,0.07,0.91,0.02
Shannon/$/$/Fairfield Inn and Suites By Marriott Plainville,0.06,0.92,0.02
Shannon/$/$/Hyatt Place Pittsburgh Cranberry,0.06,0.93,0.01
Shannon/$/$/Palm Suites,0.09,0.9,0.01
Shannon/$/$/Americas Best Value Inn,0.12,0.88,0.0
Shannon/$/$/Bayside Resort Hotel,0.08,0.91,0.01
Shannon/$/$/Super 8 Blackwell Ok,0.06,0.91,0.03
Shannon/$/$/Residence Inn By Marriott Springdale,0.0,1.0,0.0
"Shannon/$/$/Nippersink Country Club, Inc.",0.0,1.0,0.0
Shannon/$/$/Quality Inn Long Beach Airport,0.12,0.86,0.02
Shannon/$/$/Comfort Inn and Suites,0.66,0.33,0.01
Shannon/$/$/Holiday Inn Victorville,0.04,0.94,0.02
Deb/$/$/Days Inn Brookings,0.28,0.68,0.04
Deb/$/$/Red Rest Inn,0.24,0.72,0.04
Deb/$/$/Quality Inn and Suites Eugene-springfield,0.21,0.75,0.04
Deb/$/$/Super 8 Metropolis,0.21,0.76,0.03
Deb/$/$/Hampton Inn Virginia Beach Oceanfront North,1.05,-0.06,0.01
Kate/$/$/Days Inn Brookings,0.0,1.0,0.0
Kate/$/$/Quality Inn Johnson City,0.0,1.0,0.0
Kate/$/$/Comfort Inn,0.0,1.0,0.0
Kate/$/$/Garden of The Gods Club & Resort,0.0,1.0,0.0
Kate/$/$/Days Inn and Suites Albany,0.02,0.96,0.02
Mangesh/$/$/Durango Travelodge,0.0,1.0,0.0
Casey/$/$/Durango Travelodge,0.0,1.0,0.0
Casey/$/$/Wine Valley Lodge,0.0,1.0,0.0
Casey/$/$/La Quinta Inn and Suites Nashville Franklin,0.0,1.0,0.0
Casey/$/$/The Westin Buckhead,0.0,1.0,0.0
Oscar/$/$/Durango Travelodge,0.0,1.0,0.0
Oscar/$/$/Hampton Inn Fayetteville Fort Bragg,0.0,1.0,0.0
Oscar/$/$/Best Western Holiday Hills,0.0,1.0,0.0
Oscar/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0,1.0,0.0
Wade/$/$/Durango Travelodge,0.0,1.0,0.0
Jan/$/$/Durango Travelodge,0.09,0.88,0.03
Jan/$/$/Days Inn Warren,0.08,0.89,0.03
"Jan/$/$/The Alexandrian, Autograph Collection",0.75,0.24,0.01
Jan/$/$/Hilton Garden Inn Austin Nw - Arboretum,0.06,0.91,0.03
Jan/$/$/Pelican Shores Inn,0.0,1.0,0.0
Jan/$/$/Quality Inn Johnson City,0.07,0.9,0.03
Jan/$/$/Quality Inn Near Six Flags,0.04,0.93,0.03
Jan/$/$/Residence Inn By Marriott Springdale,0.0,1.0,0.0
Jan/$/$/Casa Del Mar Inn Bandb,0.02,0.96,0.02
Jan/$/$/Holiday Inn Express Hotel and Suites Cambridge,0.04,0.95,0.01
George O/$/$/Durango Travelodge,0.02,0.93,0.05
Brigitte/$/$/Durango Travelodge,0.0,1.0,0.0
Bret/$/$/Durango Travelodge,0.0,1.0,0.0
Tony/$/$/Durango Travelodge,0.04,0.93,0.03
Tony/$/$/La Quinta Inn and Suites Sunrise,0.0,1.0,0.0
Tony/$/$/Super 8 Pittsburgh/monroeville,0.0,1.0,0.0
Tony/$/$/Baymont Inn & Suites Griffin,0.0,1.0,0.0
Tony/$/$/Hilton Santo Domingo,0.0,1.0,0.0
Tony/$/$/The Jayakarta Bali,0.01,0.96,0.03
Tony/$/$/Fairfield Inn & Suites Atlanta Perimeter Center,0.0,1.0,0.0
Tony/$/$/Extended Stay America - Columbia - Northwest Harbison,0.0,1.0,0.0
Tony/$/$/Comfort Inn Montgomery,0.0,1.0,0.0
Tony/$/$/Hampton Inn Dublin,0.0,1.0,0.0
Tony/$/$/Hampton Inn and Suites Annapolis,0.0,1.0,0.0
Tony/$/$/Monterey Beach Dunes Inn,0.04,0.94,0.02
Tony/$/$/Quality Inn Gulfport,0.0,0.97,0.03
Tony/$/$/Holiday Inn Express Hotel and Suites Meadowlands Area,0.0,1.0,0.0
Aaron/$/$/Durango Travelodge,0.05,0.92,0.03
"Aaron/$/$/The Alexandrian, Autograph Collection",0.71,0.29,0.0
Aaron/$/$/Baymont Inn and Suites Enid,0.03,0.94,0.03
Aaron/$/$/Americinn Coralville,0.02,0.96,0.02
Aaron/$/$/Warwick Denver,0.03,0.95,0.02
Aaron/$/$/Tidewater Inn,0.03,0.96,0.01
Aaron/$/$/Microtel Inn By Wyndham Knoxville,0.03,0.95,0.02
Aaron/$/$/Super 8 Indianapolis,0.02,0.96,0.02
Aaron/$/$/Mccamly Plaza Hotel,0.01,0.97,0.02
Aaron/$/$/Best Western Hartford Hotel & Suites,0.02,0.96,0.02
Aaron/$/$/La Quinta Inn and Suites Meridian,0.05,0.93,0.02
Janie/$/$/Durango Travelodge,0.04,0.92,0.04
Janie/$/$/Hampton Inn & Suites-downtown-tutwiler,0.0,1.0,0.0
Janie/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.0,1.0,0.0
roger/$/$/Durango Travelodge,0.0,1.0,0.0
roger/$/$/Crossland Economy Studios - Lake Charles - Sulphur,0.0,1.0,0.0
KATHIRAVAN/$/$/Durango Travelodge,0.13,0.82,0.05
Joseph/$/$/Durango Travelodge,0.13,0.86,0.01
Joseph/$/$/La Quinta Inn and Suites Tucson - Reid Park,0.12,0.87,0.01
Joseph/$/$/Residence Inn By Marriott Irvine John Wayne Airport,0.74,0.25,0.01
Joseph/$/$/Super 8 Pittsburgh/monroeville,0.13,0.86,0.01
"Joseph/$/$/The Alexandrian, Autograph Collection",0.68,0.32,0.0
Joseph/$/$/Vista Hotel On Lake Tarpon,0.11,0.88,0.01
Joseph/$/$/Comfort Inn Livermore,0.1,0.89,0.01
Joseph/$/$/Tidewater Inn,0.64,0.35,0.01
Joseph/$/$/Extended Stay America - Rockford - I-90,0.08,0.91,0.01
Joseph/$/$/Extended Stay America - Raleigh - Cary - Regency Parkway S,0.09,0.9,0.01
Joseph/$/$/Country Inn & Suites By Carlson,0.18,0.81,0.01
Joseph/$/$/Country Inn and Suites By Carlson Charlotte University Place,0.1,0.89,0.01
Joseph/$/$/Gardena Terrace Inn,0.04,0.95,0.01
Joseph/$/$/Comfort Inn Deland - Near University,0.11,0.88,0.01
Joseph/$/$/Innisbrook,0.14,0.85,0.01
Joseph/$/$/Hilton San Diego Airport/harbor Island,0.69,0.3,0.01
Joseph/$/$/Hyatt Place Pittsburgh Cranberry,0.08,0.91,0.01
Joseph/$/$/Comfort Inn Birmingham - Irondale,0.16,0.83,0.01
Joseph/$/$/Ip Casino Resort Spa,0.07,0.93,0.0
Joseph/$/$/Days Inn Fort Wayne,0.11,0.88,0.01
Joseph/$/$/Super 8 - Upland,0.16,0.83,0.01
Joseph/$/$/Inn At Mendenhall,0.12,0.87,0.01
Joseph/$/$/Comfort Inn and Suites Bend,0.08,0.91,0.01
Joseph/$/$/Holiday Inn Express - Hillsboro,0.12,0.87,0.01
Joseph/$/$/Campus Inn & Suites Eugene Downtown,0.11,0.88,0.01
Joseph/$/$/Super 8 Metropolis,0.07,0.92,0.01
Joseph/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0,1.0,0.0
Joseph/$/$/Comfort Suites,0.05,0.95,0.0
Joseph/$/$/Baymont Inn and Suites Boone,0.13,0.86,0.01
Joseph/$/$/Hotel Valencia Santana Row,0.0,0.99,0.01
Joseph/$/$/Candlewood Suites Eugene Springfield,0.0,1.0,0.0
Joseph/$/$/The Westin Buckhead,0.06,0.93,0.01
Joseph/$/$/Sportsmen's Lodge,0.12,0.87,0.01
Joseph/$/$/Americas Best Value Inn,0.13,0.87,0.0
Joseph/$/$/Hotel Eug��ne En Ville,0.65,0.34,0.01
Joseph/$/$/Holiday Inn Express & Suites Crossville,0.09,0.9,0.01
Roberta/$/$/Durango Travelodge,0.57,0.4,0.03
Roberta/$/$/Hampton Inn Abilene,0.0,1.0,0.0
Roberta/$/$/Country Inn & Suites By Carlson,0.0,0.97,0.03
Roberta/$/$/Hampton Inn Sarasota - I-75 Bee Ridge,0.0,1.0,0.0
Roberta/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0,1.0,0.0
Cory/$/$/Durango Travelodge,0.0,1.0,0.0
Cory/$/$/Days Inn Warren,0.61,0.35,0.04
Cory/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.0,1.0,0.0
Cory/$/$/Super 8 Bradenton Sarasota Area,0.0,1.0,0.0
Cory/$/$/Holiday Inn Express Hotel and Suites Meadowlands Area,0.0,1.0,0.0
Linnea/$/$/Durango Travelodge,0.0,1.0,0.0
Linnea/$/$/Americinn Coralville,0.0,1.0,0.0
Linnea/$/$/Sleep Inn Slidell,0.0,1.0,0.0
Christina/$/$/Durango Travelodge,0.08,0.9,0.02
Christina/$/$/Holiday Inn Express and Suites Canyonville,0.06,0.92,0.02
Christina/$/$/Hampton Inn New Orleans - Downtown,0.0,1.0,0.0
Christina/$/$/Hampton Inn Fayetteville Fort Bragg,0.0,0.98,0.02
Christina/$/$/Super 8 Manhattan Ks,0.05,0.93,0.02
Christina/$/$/Americas Best Value Inn,0.1,0.9,0.0
Christina/$/$/Pelican Shores Inn,0.0,1.0,0.0
Christina/$/$/Cherry Orchard Inn,0.09,0.88,0.03
Christina/$/$/Sheraton Offenbach Hotel,0.63,0.34,0.03
Christina/$/$/Best Western Holiday Hills,0.06,0.92,0.02
Christina/$/$/Super 8 Schenect/albany Area,0.06,0.92,0.02
Christina/$/$/Travelodge Anaheim Convention Center,0.11,0.87,0.02
Christina/$/$/Residence Inn By Marriott Springdale,0.0,1.0,0.0
Christina/$/$/Mccamly Plaza Hotel,0.03,0.95,0.02
"Christina/$/$/Nippersink Country Club, Inc.",0.0,1.0,0.0
Christina/$/$/Dockers Inn,0.61,0.37,0.02
Christina/$/$/Monarch Inn,0.1,0.88,0.02
Christina/$/$/Days Inn and Suites Albany,0.16,0.83,0.01
Christina/$/$/Americas Best Value Inn - Medical Center/airport,0.04,0.94,0.02
m/$/$/Durango Travelodge,0.0,1.0,0.0
m/$/$/Inn At Queen Anne,0.0,1.0,0.0
m/$/$/Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive,0.49,0.46,0.05
m/$/$/Cherry Orchard Inn,0.55,0.41,0.04
m/$/$/Super 8 Kansas City Airport,0.52,0.44,0.04
Business/$/$/Durango Travelodge,0.0,1.0,0.0
Alberto/$/$/Durango Travelodge,0.03,0.93,0.04
Alberto/$/$/La Quinta Inn and Suites Sunrise,0.01,0.98,0.01
Alberto/$/$/Hampton Inn Tucson-airport,0.78,0.21,0.01
Alberto/$/$/Inter-hotel Orl��ans Nord,0.0,1.0,0.0
Alberto/$/$/Hotel Roc Flamingo,0.0,1.0,0.0
Barrett/$/$/Durango Travelodge,0.53,0.42,0.05
Amy C/$/$/Residence Inn Billings,0.01,0.94,0.05
Jonathan R/$/$/Residence Inn Billings,0.0,1.0,0.0
Jonathan R/$/$/Holiday Inn Express Hotel and Suites Cambridge,0.05,0.93,0.02
Annah P/$/$/Residence Inn Billings,0.01,0.94,0.05
Dale S/$/$/Residence Inn Billings,0.01,0.94,0.05
andreamavi/$/$/Residence Inn Billings,0.0,1.0,0.0
TRA2/$/$/Residence Inn Billings,0.0,1.0,0.0
Helen B/$/$/Residence Inn Billings,0.01,0.94,0.05
NewSmyrnaJoe/$/$/Residence Inn Billings,0.0,1.0,0.0
6530bx4/$/$/Residence Inn Billings,0.0,1.0,0.0
Mariah V/$/$/Residence Inn Billings,0.01,0.94,0.05
CoolNYCChick/$/$/Residence Inn Billings,0.01,0.94,0.05
JohnandRobin2011/$/$/Residence Inn Billings,0.01,0.94,0.05
George R/$/$/Residence Inn Billings,0.01,0.94,0.05
Thi Le/$/$/Residence Inn Billings,0.01,0.94,0.05
audnbob/$/$/Residence Inn Billings,0.01,0.94,0.05
Roger P/$/$/Residence Inn Billings,0.0,1.0,0.0
Yerushalmy/$/$/Residence Inn Billings,0.01,0.94,0.05
Perla N/$/$/Residence Inn Billings,0.0,1.0,0.0
platinum_maverick/$/$/Residence Inn Billings,0.01,0.94,0.05
l2ider/$/$/Residence Inn Billings,0.01,0.94,0.05
Flowers7777/$/$/Residence Inn Billings,0.01,0.94,0.05
IIbeach1/$/$/Residence Inn Billings,0.01,0.94,0.05
Linda D/$/$/Residence Inn Billings,0.0,1.0,0.0
Linda D/$/$/Days Inn Kuttawa,0.0,1.0,0.0
jordan burleson/$/$/Residence Inn Billings,0.0,1.0,0.0
wataugaman/$/$/Residence Inn Billings,0.0,1.0,0.0
MiguelitoyCat/$/$/Residence Inn Billings,0.0,1.0,0.0
MiguelitoyCat/$/$/Eldorado Inn,0.0,1.0,0.0
Taylor McCaslin/$/$/Residence Inn Billings,0.01,0.94,0.05
Nancy T/$/$/Residence Inn Billings,0.0,1.0,0.0
Briana Kennedy-Kessler/$/$/Residence Inn Billings,0.0,1.0,0.0
kmadplume86/$/$/Residence Inn Billings,0.0,1.0,0.0
marianne f/$/$/Residence Inn Billings,0.0,1.0,0.0
Skip1952/$/$/Residence Inn Billings,0.0,1.0,0.0
Charles_Schuchert/$/$/Residence Inn Billings,0.0,1.0,0.0
A TripAdvisor Member/$/$/Residence Inn Billings,0.0,1.0,0.0
A TripAdvisor Member/$/$/Comfort Inn Humboldt Bay,0.0,1.0,0.0
Richard L/$/$/Residence Inn Billings,0.0,1.0,0.0
JoeandTeresa/$/$/Residence Inn Billings,0.0,1.0,0.0
Rex G/$/$/Residence Inn Billings,0.0,1.0,0.0
flyfreeWi/$/$/Residence Inn Billings,0.0,1.0,0.0
Brian T/$/$/Residence Inn Billings,0.0,1.0,0.0
Sonya/$/$/Best Western Plus Arlington North Hotel and Suites,0.81,0.15,0.04
Sonya/$/$/Dockers Inn,0.05,0.92,0.03
Dianna/$/$/Best Western Plus Arlington North Hotel and Suites,0.03,0.93,0.04
Dianna/$/$/Country Inn and Suites By Carlson,0.02,0.93,0.05
Dianna/$/$/Comfort Inn Deland - Near University,0.02,0.94,0.04
Dianna/$/$/Wingate By Wyndham Pueblo,0.84,0.14,0.02
Pamela/$/$/Best Western Plus Arlington North Hotel and Suites,0.07,0.91,0.02
Pamela/$/$/Country Inn and Suites By Carlson Corbin,0.12,0.87,0.01
Pamela/$/$/Ramada,0.11,0.87,0.02
"Pamela/$/$/The Alexandrian, Autograph Collection",0.76,0.24,0.0
Pamela/$/$/Hyatt Place Utica,0.67,0.31,0.02
Pamela/$/$/Hotel Adler Cavalieri,0.1,0.88,0.02
Pamela/$/$/Ip Casino Resort Spa,0.08,0.91,0.01
Pamela/$/$/Super 8 - Effingham,0.09,0.89,0.02
Pamela/$/$/Inn At Mendenhall,0.64,0.34,0.02
Pamela/$/$/Super 8 Indianapolis,0.12,0.86,0.02
Pamela/$/$/Residence Inn By Marriott Springdale,0.03,0.94,0.03
Pamela/$/$/Hampton Inn Grand Junction Downtown/historic Main Street,0.13,0.85,0.02
Pamela/$/$/Hyatt Place Atlanta/alpharetta/north Point Mall,0.05,0.94,0.01
Joe Martin/$/$/Best Western Plus Arlington North Hotel and Suites,0.05,0.9,0.05
J Allen/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Arlene/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Arlene/$/$/Candlewood Suites Huntersville,0.0,1.0,0.0
Arlene/$/$/Harrah's Laughlin Hotel and Casino,0.02,0.96,0.02
Arlene/$/$/Comfort Inn Montgomery,0.0,1.0,0.0
Arlene/$/$/Holiday Inn Express Hotel and Suites Meadowlands Area,0.0,1.0,0.0
Dat/$/$/Best Western Plus Arlington North Hotel and Suites,0.05,0.9,0.05
Troy/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Troy/$/$/Super 8 Elko Nv,0.0,1.0,0.0
Troy/$/$/Americas Best Value Inn,0.04,0.95,0.01
Troy/$/$/La Quinta Inn and Suites Miami Cutler Bay,0.0,1.0,0.0
Troy/$/$/Microtel Inn and Suites By Wyndham Burlington,0.0,0.97,0.03
Troy/$/$/Residence Inn By Marriott Fort Lauderdale Weston,0.0,1.0,0.0
Rodney/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Rodney/$/$/Holiday Inn Express Hotel and Suites Raleigh-wakefield,0.0,1.0,0.0
Rodney/$/$/Quality Suites Intercontinental Airport West,0.0,1.0,0.0
Rodney/$/$/Mccamly Plaza Hotel,0.0,1.0,0.0
Megan/$/$/Best Western Plus Arlington North Hotel and Suites,0.05,0.92,0.03
Megan/$/$/Fh Hotel Villa Fiesole,0.02,0.95,0.03
Megan/$/$/Hyatt Place Utica,0.05,0.92,0.03
Megan/$/$/Tidewater Inn,0.09,0.9,0.01
Megan/$/$/Homewood Suites - Mall of America,0.04,0.93,0.03
Megan/$/$/Anaheim Marriott Suites,0.0,1.0,0.0
Megan/$/$/Residence Inn By Marriott Fort Lauderdale Weston,0.03,0.95,0.02
Megan/$/$/Americas Best Value Inn,0.13,0.87,0.0
Philip/$/$/Best Western Plus Arlington North Hotel and Suites,0.09,0.88,0.03
Philip/$/$/La Quinta Inn and Suites Tucson - Reid Park,0.13,0.84,0.03
Philip/$/$/Hyatt Regency Kathmandu,0.0,1.0,0.0
Philip/$/$/American Star Inn and Suites Atlantic City,0.19,0.77,0.04
Philip/$/$/Comfort Inn Deland - Near University,0.09,0.88,0.03
Philip/$/$/Super 8 Schenect/albany Area,0.13,0.84,0.03
Philip/$/$/La Quinta Inn Auburn Worcester,0.81,0.18,0.01
Philip/$/$/Candlewood Suites Eugene Springfield,0.0,1.0,0.0
Philip/$/$/Elba Sara Beach & Golf Resort,0.09,0.86,0.05
Jack C/$/$/Best Western Plus Arlington North Hotel and Suites,0.05,0.9,0.05
Erica/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Erica/$/$/Suburban Extended Stay of Memphis Bartlett,0.02,0.9,0.08
Erica/$/$/Comfort Inn - Springfield,0.0,1.0,0.0
Erica/$/$/Mercure Curitiba Golden Hotel,0.0,1.0,0.0
Erica/$/$/Radisson Blu Conference and Airport Hotel,0.0,1.0,0.0
Erica/$/$/Comfort Inn,0.0,1.0,0.0
Erica/$/$/Fiesta Inn and Suites,0.13,0.86,0.01
Erica/$/$/New York Marriott Marquis,0.02,0.97,0.01
spencer/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Cesar/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Cesar/$/$/The Westin Europa and Regina,0.0,1.0,0.0
Cesar/$/$/Days Inn Lanham Washington Dc,0.64,0.32,0.04
Cesar/$/$/City Express Irapuato,0.0,1.0,0.0
Cesar/$/$/Holiday Inn Express Hotel and Suites Hesperia,0.74,0.23,0.03
Deisy/$/$/Best Western Plus Arlington North Hotel and Suites,0.05,0.9,0.05
Christie/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Christie/$/$/Extended Stay America - Raleigh - Cary - Regency Parkway S,0.0,0.96,0.04
Cindi/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Cindi/$/$/Super 8 Metropolis,0.0,0.97,0.03
Jamie/$/$/Best Western Plus Arlington North Hotel and Suites,0.05,0.92,0.03
Jamie/$/$/Country Inn and Suites By Carlson Corbin,0.07,0.91,0.02
Jamie/$/$/Pelican Shores Inn,0.0,1.0,0.0
Jamie/$/$/Plaza Hotel and Casino - Las Vegas,0.11,0.88,0.01
Jamie/$/$/Best Western Holiday Hills,0.09,0.88,0.03
Jamie/$/$/Quality Inn and Suites,0.13,0.86,0.01
Jamie/$/$/Hilton San Diego Airport/harbor Island,0.09,0.89,0.02
Jamie/$/$/Super 8 Crete Ne,0.14,0.81,0.05
Jamie/$/$/Sportsmen's Lodge,0.14,0.84,0.02
jessica/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
jessica/$/$/Red Roof Inn Erie,0.0,1.0,0.0
jessica/$/$/Hampton Inn and Suites Annapolis,0.0,1.0,0.0
zachary/$/$/Best Western Plus Arlington North Hotel and Suites,0.06,0.9,0.04
zachary/$/$/Una Hotel Forte Dei Marmi,0.06,0.89,0.05
Jesse/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Jesse/$/$/Dallas/fort Worth Marriott Solana,0.64,0.33,0.03
Jesse/$/$/Lakeway Resort & Spa,0.0,1.0,0.0
Jesse/$/$/Hilton Santo Domingo,0.0,1.0,0.0
Jesse/$/$/Norwood Inn and Suites,0.11,0.86,0.03
Jesse/$/$/Hyatt House Colorado Springs,0.66,0.32,0.02
Jesse/$/$/Knights Inn Eau Claire,0.02,0.94,0.04
Jesse/$/$/Fiesta Inn and Suites,0.14,0.85,0.01
Jesse/$/$/Econo Lodge Miles City,0.0,1.0,0.0
Jesse/$/$/Cherokee Lodge Bed and Breakfast,0.0,0.98,0.02
DiAnn/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Evelyn R./$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Jim Peterson/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
curtis/$/$/Best Western Plus Arlington North Hotel and Suites,0.71,0.24,0.05
Leanne/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Leanne/$/$/The Jayakarta Bali,0.01,0.93,0.06
Leanne/$/$/Fairbridge Inn,0.06,0.89,0.05
Tamera/$/$/Best Western Plus Arlington North Hotel and Suites,0.05,0.9,0.05
Camillia/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Arthur/$/$/Best Western Plus Arlington North Hotel and Suites,0.0,1.0,0.0
Arthur/$/$/Chelsea Inn,0.0,1.0,0.0
Arthur/$/$/Howard Johnson Inn - Newburgh,0.08,0.91,0.01
Arthur/$/$/Best Western Hospitality Hotel and Suites,0.01,0.98,0.01
Arthur/$/$/Comfort Suites,0.0,1.0,0.0
Arthur/$/$/The Westin Buckhead,0.0,1.0,0.0
Arthur/$/$/Econo Lodge Miles City,0.0,1.0,0.0
Arthur/$/$/Holiday Inn Express Hotel & Suites Emporia,0.03,0.94,0.03
