utente/$/$/hotel,somma
A Traveler/$/$/Red Rest Inn,0.9
A Traveler/$/$/Hotel Silken Siete Coronas,1.15
A Traveler/$/$/Cherry Orchard Inn,0.52
A Traveler/$/$/Hotel Vorbach,1.08
A Traveler/$/$/Lakeway Resort & Spa,1.08
A Traveler/$/$/Knights Inn Amarillo Airport,0.45
A Traveler/$/$/La Quinta Inn and Suites Nashville Franklin,0.54
A Traveler/$/$/Chelsea Inn,1.08
A Traveler/$/$/Comfort Inn - Springfield,0.96
A Traveler/$/$/Sombrero Resort and Marina,0.48
A Traveler/$/$/Days Inn West Memphis,0.64
A Traveler/$/$/Quality Inn,0.49
A Traveler/$/$/Sheraton Offenbach Hotel,1.01
A Traveler/$/$/Extended Stay America - Raleigh - Cary - Regency Parkway S,0.59
A Traveler/$/$/Suburban Extended Stay Warner Robins,0.97
A Traveler/$/$/Jvd Hotels,0.52
A Traveler/$/$/Parkside Inn At Incline,0.87
A Traveler/$/$/Holiday Inn Express Hotel and Suites Raleigh-wakefield,1.12
A Traveler/$/$/Arion,1.15
A Traveler/$/$/Una Hotel Forte Dei Marmi,1.04
A Traveler/$/$/Fireside Inn Santa Cruz,0.69
A Traveler/$/$/Hilton Santo Domingo,1.09
A Traveler/$/$/Samui Cliff View Resort & Spa,1.04
A Traveler/$/$/Country Inn & Suites By Carlson,0.95
A Traveler/$/$/Best Western Holiday Hills,0.98
A Traveler/$/$/Norwood Inn and Suites,0.42
A Traveler/$/$/Howard Johnson Inn - Newburgh,0.51
A Traveler/$/$/Holiday Inn Express Colton-riverside North,0.57
A Traveler/$/$/Fairfield Inn Saginaw,1.11
A Traveler/$/$/Hotel Casena Dei Colli,1.05
A Traveler/$/$/Quality Inn and Suites Eugene-springfield,0.97
A Traveler/$/$/Harrah's Laughlin Hotel and Casino,0.63
A Traveler/$/$/Americas Best Value Inn and Suites,0.58
A Traveler/$/$/The Westin Europa and Regina,1.08
A Traveler/$/$/Melia Paris Champs-elys��es,1.05
A Traveler/$/$/Sci�� On Martin,0.97
A Traveler/$/$/Country Inn and Suites By Carlson Charlotte University Place,1.01
A Traveler/$/$/Gardena Terrace Inn,0.51
A Traveler/$/$/Quality Suites Intercontinental Airport West,0.96
A Traveler/$/$/Best Western Knoxville Suites,0.96
A Traveler/$/$/The Jayakarta Bali,0.62
A Traveler/$/$/Hotel Aura Sfo,0.97
A Traveler/$/$/Hampton Inn Bloomington West,1.05
A Traveler/$/$/Best Western Plus San Marcos Inn,1.06
A Traveler/$/$/Comfort Inn Deland - Near University,1.04
A Traveler/$/$/Comfort Suites,1.07
A Traveler/$/$/Best Western of Long Beach,1.09
A Traveler/$/$/Holiday Inn Express & Suites Phoenix Downtown - Ballpark,1.05
A Traveler/$/$/Fairbridge Inn,0.56
A Traveler/$/$/Grand Hotel Cadenabbia,0.95
A Traveler/$/$/Hotel An Der Philharmonie,1.0
A Traveler/$/$/Comfort Hotel Nation Pere Lachaise Paris 11,1.0
A Traveler/$/$/Innisbrook,1.01
A Traveler/$/$/Fairfield Inn and Suites By Marriott Plainville,1.02
A Traveler/$/$/Marriott's Mountainside At Park City,1.07
A Traveler/$/$/Fairfield Inn & Suites Atlanta Perimeter Center,1.01
A Traveler/$/$/Super 8 Schenect/albany Area,0.64
A Traveler/$/$/Extended Stay America - Columbia - Northwest Harbison,0.94
A Traveler/$/$/Hilton San Diego Airport/harbor Island,1.02
A Traveler/$/$/Western Inn-glacier Park,0.67
A Traveler/$/$/Hampton Inn Sarasota - I-75 Bee Ridge,1.04
A Traveler/$/$/Country Inn and Suites By Carlson Galena,1.15
A Traveler/$/$/Hampton Inn Roanoke/salem,1.02
A Traveler/$/$/Excellence Riviera Cancun - Adults Only - All Inclusive,1.02
A Traveler/$/$/Hotel Metropole,1.08
A Traveler/$/$/Anglers Inn,0.93
A Traveler/$/$/Super 8 Crete Ne,0.81
A Traveler/$/$/H��tel Marinca and Spa,0.88
A Traveler/$/$/Hyatt Place Pittsburgh Cranberry,1.04
A Traveler/$/$/El Dorado Seaside Suites By Karisma - All Inclusive,1.0
A Traveler/$/$/Best Western Hospitality Hotel and Suites,0.56
A Traveler/$/$/Hotel Adler Cavalieri,1.07
A Traveler/$/$/Microtel Inn By Wyndham Knoxville,0.48
A Traveler/$/$/H��tel Les Bruy��res,1.13
A Traveler/$/$/Comfort Inn Birmingham - Irondale,0.62
A Traveler/$/$/Super 8 Madison,0.97
A Traveler/$/$/Holiday Inn Express & Suites West Monroe,0.76
A Traveler/$/$/Ip Casino Resort Spa,1.09
A Traveler/$/$/Travelodge Anaheim Convention Center,0.56
A Traveler/$/$/Hampton Inn Tucson-airport,1.17
A Traveler/$/$/Palm Suites,0.72
A Traveler/$/$/Hampton Inn & Suites-downtown-tutwiler,1.09
